epsilon,lambda,CTX,SSI,ERR(RA)
0.1,0.1,0.17766,0.818499,0.598041
0.1,0.2,0.18225,0.829459,0.592135
0.1,0.3,0.19831,0.831314,0.585343
0.1,0.4,0.19563,0.839392,0.588746
0.1,0.5,0.1919,0.869177,0.591106
0.1,0.6,0.20179,0.887953,0.590628
0.1,0.7,0.20789,0.893106,0.591185
0.1,0.8,0.20788,0.90666,0.587751
0.1,0.9,0.21601,0.918943,0.590225
0.1,1.0,0.22236,0.909744,0.589946
0.2,0.1,0.1469,0.82161,0.642681
0.2,0.2,0.15123,0.826976,0.644036
0.2,0.3,0.15586,0.816892,0.645221
0.2,0.4,0.15901,0.839993,0.646586
0.2,0.5,0.16116,0.865276,0.645716
0.2,0.6,0.16088,0.872087,0.647946
0.2,0.7,0.16385,0.889738,0.646245
0.2,0.8,0.17039,0.91586,0.647581
0.2,0.9,0.17729,0.917991,0.646996
0.2,1.0,0.18867,0.93022,0.644706
0.3,0.1,0.12558,0.822062,0.688431
0.3,0.2,0.12745,0.816489,0.685186
0.3,0.3,0.13133,0.818354,0.693327
0.3,0.4,0.13636,0.841434,0.686965
0.3,0.5,0.13579,0.856262,0.68562
0.3,0.6,0.13584,0.885386,0.693969
0.3,0.7,0.14501,0.904579,0.692382
0.3,0.8,0.14897,0.908239,0.698202
0.3,0.9,0.1543,0.923932,0.699809
0.3,1.0,0.16397,0.922446,0.69401
0.4,0.1,0.11309,0.794044,0.721794
0.4,0.2,0.11195,0.816423,0.726067
0.4,0.3,0.1155,0.828133,0.729949
0.4,0.4,0.12237,0.831398,0.722733
0.4,0.5,0.11926,0.847639,0.725849
0.4,0.6,0.12827,0.873281,0.728227
0.4,0.7,0.12889,0.894675,0.722783
0.4,0.8,0.13674,0.915719,0.728256
0.4,0.9,0.14251,0.91927,0.72664
0.4,1.0,0.15655,0.908552,0.725907
0.5,0.1,0.10188,0.782048,0.757905
0.5,0.2,0.101,0.816002,0.758305
0.5,0.3,0.10637,0.835394,0.760945
0.5,0.4,0.1135,0.831997,0.751637
0.5,0.5,0.10729,0.855669,0.758995
0.5,0.6,0.11704,0.884519,0.756968
0.5,0.7,0.11452,0.900395,0.75671
0.5,0.8,0.12474,0.916992,0.755505
0.5,0.9,0.13446,0.915704,0.755976
0.5,1.0,0.14152,0.928259,0.752514
0.6,0.1,0.08703,0.813208,0.789364
0.6,0.2,0.0937,0.805411,0.783481
0.6,0.3,0.09587,0.810688,0.781013
0.6,0.4,0.09859,0.852992,0.778768
0.6,0.5,0.10203,0.848752,0.784711
0.6,0.6,0.10904,0.875318,0.782489
0.6,0.7,0.11206,0.900015,0.781228
0.6,0.8,0.11565,0.901796,0.780991
0.6,0.9,0.12618,0.913552,0.787451
0.6,1.0,0.13531,0.919082,0.781028
0.7,0.1,0.0852,0.799321,0.80139
0.7,0.2,0.08754,0.799538,0.799878
0.7,0.3,0.09148,0.830342,0.804559
0.7,0.4,0.09951,0.839347,0.797163
0.7,0.5,0.09708,0.845087,0.807717
0.7,0.6,0.0988,0.875973,0.805787
0.7,0.7,0.10882,0.903127,0.802454
0.7,0.8,0.11193,0.902222,0.799845
0.7,0.9,0.12133,0.911299,0.801565
0.7,1.0,0.12898,0.937711,0.802646
0.8,0.1,0.07915,0.835592,0.820638
0.8,0.2,0.08446,0.819862,0.823684
0.8,0.3,0.08959,0.822705,0.819568
0.8,0.4,0.08818,0.846942,0.821144
0.8,0.5,0.09183,0.860835,0.822073
0.8,0.6,0.09661,0.872945,0.813686
0.8,0.7,0.10082,0.894177,0.817985
0.8,0.8,0.10491,0.897204,0.822649
0.8,0.9,0.11556,0.91297,0.823322
0.8,1.0,0.1213,0.915333,0.821636
0.9,0.1,0.07995,0.824245,0.840292
0.9,0.2,0.08143,0.831888,0.83486
0.9,0.3,0.08433,0.826616,0.835661
0.9,0.4,0.08879,0.826114,0.84017
0.9,0.5,0.09223,0.849166,0.837222
0.9,0.6,0.09659,0.882539,0.836181
0.9,0.7,0.09585,0.891679,0.836266
0.9,0.8,0.10457,0.904039,0.842224
0.9,0.9,0.11144,0.913464,0.83544
0.9,1.0,0.11969,0.932293,0.835312
1.0,0.1,0.07343,0.814705,0.854866
1.0,0.2,0.07982,0.801909,0.851883
1.0,0.3,0.07752,0.810056,0.859075
1.0,0.4,0.0849,0.838767,0.85471
1.0,0.5,0.08528,0.852801,0.855287
1.0,0.6,0.09182,0.885267,0.85321
1.0,0.7,0.09287,0.887906,0.852067
1.0,0.8,0.1017,0.906161,0.855399
1.0,0.9,0.11143,0.909621,0.84739
1.0,1.0,0.12258,0.930002,0.854361
1.1,0.1,0.07192,0.805172,0.870079
1.1,0.2,0.07385,0.811798,0.865429
1.1,0.3,0.07645,0.826227,0.863612
1.1,0.4,0.07903,0.835337,0.866952
1.1,0.5,0.08275,0.831798,0.871217
1.1,0.6,0.08687,0.876084,0.864727
1.1,0.7,0.09437,0.895943,0.866166
1.1,0.8,0.1024,0.910409,0.867109
1.1,0.9,0.10767,0.916883,0.870965
1.1,1.0,0.1162,0.924159,0.865239
1.2,0.1,0.06803,0.803985,0.880824
1.2,0.2,0.06833,0.806942,0.884253
1.2,0.3,0.07457,0.833243,0.879635
1.2,0.4,0.07811,0.843369,0.879802
1.2,0.5,0.07995,0.862521,0.87932
1.2,0.6,0.08427,0.870849,0.881486
1.2,0.7,0.08759,0.903834,0.877616
1.2,0.8,0.09667,0.910696,0.8874
1.2,0.9,0.10465,0.914714,0.877213
1.2,1.0,0.11617,0.934443,0.878239
1.3,0.1,0.06766,0.803837,0.892311
1.3,0.2,0.06835,0.805274,0.88915
1.3,0.3,0.07403,0.825078,0.890992
1.3,0.4,0.07572,0.829005,0.891243
1.3,0.5,0.08223,0.86312,0.891443
1.3,0.6,0.08125,0.880654,0.890751
1.3,0.7,0.08436,0.892945,0.892075
1.3,0.8,0.09633,0.911142,0.894099
1.3,0.9,0.10246,0.917898,0.887528
1.3,1.0,0.11015,0.920838,0.888871
1.4,0.1,0.06338,0.789616,0.89987
1.4,0.2,0.06404,0.810136,0.898961
1.4,0.3,0.07478,0.817334,0.89849
1.4,0.4,0.07647,0.831872,0.899611
1.4,0.5,0.07685,0.856172,0.902326
1.4,0.6,0.08189,0.88104,0.902572
1.4,0.7,0.08532,0.888273,0.905582
1.4,0.8,0.08878,0.906149,0.901435
1.4,0.9,0.10013,0.909468,0.903245
1.4,1.0,0.11102,0.922885,0.905131
1.5,0.1,0.06269,0.800693,0.910989
1.5,0.2,0.06739,0.803226,0.908021
1.5,0.3,0.07062,0.826698,0.9073
1.5,0.4,0.07271,0.831209,0.908681
1.5,0.5,0.07454,0.850923,0.911922
1.5,0.6,0.07825,0.883543,0.907526
1.5,0.7,0.08323,0.897187,0.911193
1.5,0.8,0.09253,0.883124,0.908651
1.5,0.9,0.09746,0.907474,0.909949
1.5,1.0,0.10915,0.916073,0.90972
1.6,0.1,0.06032,0.81451,0.919025
1.6,0.2,0.06864,0.813173,0.913423
1.6,0.3,0.06928,0.826026,0.918324
1.6,0.4,0.07486,0.816491,0.917024
1.6,0.5,0.0729,0.843887,0.916051
1.6,0.6,0.07799,0.881848,0.917677
1.6,0.7,0.08402,0.892147,0.916865
1.6,0.8,0.0876,0.895302,0.918272
1.6,0.9,0.09708,0.916795,0.920267
1.6,1.0,0.10962,0.92087,0.919631
1.7,0.1,0.06247,0.810659,0.92491
1.7,0.2,0.06262,0.78985,0.928614
1.7,0.3,0.06697,0.829401,0.925383
1.7,0.4,0.07269,0.83538,0.924708
1.7,0.5,0.07219,0.855284,0.92578
1.7,0.6,0.07864,0.877852,0.923918
1.7,0.7,0.08468,0.897719,0.924625
1.7,0.8,0.08641,0.898186,0.925468
1.7,0.9,0.09669,0.913363,0.927329
1.7,1.0,0.10581,0.93625,0.924872
1.8,0.1,0.05969,0.803577,0.933618
1.8,0.2,0.06079,0.807395,0.930223
1.8,0.3,0.06487,0.822449,0.933387
1.8,0.4,0.06994,0.832326,0.932637
1.8,0.5,0.07244,0.844372,0.932631
1.8,0.6,0.07728,0.871643,0.933291
1.8,0.7,0.07907,0.886046,0.934039
1.8,0.8,0.08929,0.902518,0.930982
1.8,0.9,0.10161,0.918706,0.930379
1.8,1.0,0.10397,0.919574,0.932394
1.9,0.1,0.05663,0.804123,0.938382
1.9,0.2,0.06152,0.805565,0.942402
1.9,0.3,0.06533,0.815589,0.938455
1.9,0.4,0.0725,0.830034,0.93953
1.9,0.5,0.07171,0.842873,0.936338
1.9,0.6,0.07378,0.877663,0.938917
1.9,0.7,0.07807,0.889687,0.940806
1.9,0.8,0.08851,0.908743,0.935912
1.9,0.9,0.09526,0.910148,0.937871
1.9,1.0,0.10378,0.9121,0.939544
2.0,0.1,0.05639,0.808709,0.94204
2.0,0.2,0.06157,0.81239,0.945186
2.0,0.3,0.06442,0.812448,0.947428
2.0,0.4,0.06595,0.836627,0.94629
2.0,0.5,0.07296,0.839489,0.945138
2.0,0.6,0.07373,0.875637,0.943957
2.0,0.7,0.08138,0.875351,0.944035
2.0,0.8,0.08709,0.885607,0.946914
2.0,0.9,0.09293,0.908258,0.944136
2.0,1.0,0.1053,0.923677,0.941453
2.1,0.1,0.06083,0.785994,0.94619
2.1,0.2,0.06102,0.81286,0.949265
2.1,0.3,0.06326,0.817786,0.95012
2.1,0.4,0.06578,0.831823,0.950271
2.1,0.5,0.06909,0.846552,0.950317
2.1,0.6,0.07238,0.876935,0.949615
2.1,0.7,0.07608,0.911341,0.949744
2.1,0.8,0.08733,0.891715,0.945951
2.1,0.9,0.09326,0.909821,0.947065
2.1,1.0,0.09915,0.924061,0.952324
2.2,0.1,0.05643,0.797539,0.954359
2.2,0.2,0.0589,0.800017,0.951728
2.2,0.3,0.06247,0.820314,0.952457
2.2,0.4,0.06575,0.835547,0.953491
2.2,0.5,0.06817,0.845164,0.956957
2.2,0.6,0.0738,0.879557,0.952042
2.2,0.7,0.07483,0.890367,0.955872
2.2,0.8,0.0807,0.898711,0.952641
2.2,0.9,0.0934,0.91089,0.953857
2.2,1.0,0.10222,0.90607,0.95335
2.3,0.1,0.06026,0.814987,0.959196
2.3,0.2,0.05821,0.82103,0.955651
2.3,0.3,0.06104,0.824516,0.958064
2.3,0.4,0.06477,0.836679,0.958277
2.3,0.5,0.06772,0.85043,0.95784
2.3,0.6,0.07183,0.885608,0.958937
2.3,0.7,0.08001,0.897597,0.955513
2.3,0.8,0.08564,0.895119,0.957055
2.3,0.9,0.0909,0.928964,0.955783
2.3,1.0,0.10346,0.928404,0.956092
2.4,0.1,0.05558,0.809153,0.960249
2.4,0.2,0.06098,0.811579,0.96149
2.4,0.3,0.06148,0.816776,0.963451
2.4,0.4,0.06424,0.837903,0.962597
2.4,0.5,0.06878,0.836896,0.962329
2.4,0.6,0.06915,0.884095,0.963426
2.4,0.7,0.07821,0.891608,0.960906
2.4,0.8,0.08464,0.895431,0.961629
2.4,0.9,0.09012,0.913208,0.961636
2.4,1.0,0.09641,0.922786,0.961378
2.5,0.1,0.05442,0.801678,0.965052
2.5,0.2,0.05786,0.814866,0.965759
2.5,0.3,0.06093,0.815005,0.96834
2.5,0.4,0.06387,0.853183,0.962191
2.5,0.5,0.06674,0.857246,0.967008
2.5,0.6,0.06881,0.888308,0.964283
2.5,0.7,0.07726,0.891297,0.965339
2.5,0.8,0.08009,0.897518,0.964602
2.5,0.9,0.09303,0.909503,0.965813
2.5,1.0,0.09773,0.927005,0.963961
2.6,0.1,0.05385,0.807244,0.969577
2.6,0.2,0.05541,0.823313,0.968649
2.6,0.3,0.06041,0.808611,0.968349
2.6,0.4,0.06429,0.843383,0.967944
2.6,0.5,0.06871,0.845766,0.970089
2.6,0.6,0.07036,0.873013,0.967483
2.6,0.7,0.07337,0.898624,0.969158
2.6,0.8,0.08373,0.904563,0.968734
2.6,0.9,0.08953,0.912155,0.970241
2.6,1.0,0.09784,0.92674,0.969643
2.7,0.1,0.05403,0.805588,0.971354
2.7,0.2,0.05681,0.817331,0.971499
2.7,0.3,0.06056,0.819133,0.971245
2.7,0.4,0.06344,0.848397,0.970985
2.7,0.5,0.06335,0.841983,0.971357
2.7,0.6,0.07005,0.875716,0.972498
2.7,0.7,0.0749,0.887487,0.969276
2.7,0.8,0.07971,0.901856,0.968983
2.7,0.9,0.0951,0.922299,0.970464
2.7,1.0,0.0979,0.93061,0.97346
2.8,0.1,0.05509,0.804898,0.973005
2.8,0.2,0.05684,0.794248,0.972764
2.8,0.3,0.05913,0.834284,0.974396
2.8,0.4,0.06227,0.836887,0.975541
2.8,0.5,0.06557,0.834798,0.974789
2.8,0.6,0.06907,0.873609,0.973735
2.8,0.7,0.07113,0.88662,0.975963
2.8,0.8,0.08331,0.901119,0.974532
2.8,0.9,0.09115,0.914332,0.972807
2.8,1.0,0.10106,0.929219,0.975003
2.9,0.1,0.05686,0.79988,0.975341
2.9,0.2,0.05733,0.806995,0.97661
2.9,0.3,0.06143,0.819557,0.978011
2.9,0.4,0.06164,0.831799,0.976895
2.9,0.5,0.06311,0.85469,0.978116
2.9,0.6,0.06828,0.887672,0.976374
2.9,0.7,0.07122,0.88893,0.977268
2.9,0.8,0.07674,0.901212,0.976928
2.9,0.9,0.08778,0.913946,0.976432
2.9,1.0,0.09451,0.923954,0.976783
3.0,0.1,0.05319,0.811461,0.978209
3.0,0.2,0.05891,0.812965,0.97971
3.0,0.3,0.06015,0.814173,0.978383
3.0,0.4,0.06556,0.812481,0.979352
3.0,0.5,0.0654,0.841208,0.978592
3.0,0.6,0.06706,0.886946,0.979545
3.0,0.7,0.07193,0.879842,0.978549
3.0,0.8,0.08248,0.901204,0.979219
3.0,0.9,0.0916,0.913314,0.979861
3.0,1.0,0.09975,0.928386,0.978444
3.1,0.1,0.05315,0.813149,0.981527
3.1,0.2,0.05208,0.815793,0.981219
