epsilon,lambda,CTX,CTX_smoothed,SSI,SSI_smoothed,ERR,ERR_smoothed
0.1,0.1,0.18524,0.120734,0.80885,0.798515,0.591035,0.753498
0.1,0.2,0.18492,0.12451,0.821325,0.830353,0.589663,0.753952
0.1,0.3,0.19315,0.12797,0.848836,0.828404,0.587784,0.752348
0.1,0.4,0.19563,0.133194,0.846975,0.832986,0.590624,0.756167
0.1,0.5,0.19458,0.134221,0.852821,0.849159,0.593035,0.754863
0.1,0.6,0.20251,0.138767,0.864892,0.878015,0.58464,0.753488
0.1,0.7,0.20617,0.142713,0.892933,0.892246,0.592769,0.757534
0.1,0.8,0.21469,0.150148,0.89973,0.905141,0.588951,0.754037
0.1,0.9,0.2193,0.155906,0.915446,0.914795,0.58408,0.754527
0.1,1.0,0.21854,0.15959,0.919162,0.930058,0.589787,0.756601
0.6444,0.1,0.08774,0.110526,0.785874,0.799983,0.788762,0.771466
0.6444,0.2,0.09552,0.115505,0.830839,0.819412,0.788242,0.772429
0.6444,0.3,0.09694,0.119875,0.81791,0.8267,0.78748,0.771055
0.6444,0.4,0.10179,0.124373,0.822325,0.831784,0.794264,0.774808
0.6444,0.5,0.10548,0.125007,0.848691,0.848476,0.785934,0.772709
0.6444,0.6,0.10716,0.129362,0.882784,0.876933,0.787151,0.771401
0.6444,0.7,0.11086,0.133596,0.888884,0.892208,0.790198,0.775493
0.6444,0.8,0.11682,0.140195,0.903454,0.903114,0.791601,0.772613
0.6444,0.9,0.12456,0.146658,0.919389,0.915357,0.789344,0.772871
0.6444,1.0,0.13138,0.152615,0.935996,0.924551,0.794168,0.774808
1.1889,0.1,0.06901,0.085379,0.817405,0.806252,0.87398,0.823278
1.1889,0.2,0.07188,0.09014,0.812634,0.811765,0.877573,0.824126
1.1889,0.3,0.07572,0.094559,0.818382,0.821618,0.87722,0.822491
1.1889,0.4,0.08373,0.10017,0.835845,0.832588,0.875501,0.825707
1.1889,0.5,0.08057,0.09908,0.844371,0.847474,0.881192,0.823122
1.1889,0.6,0.08617,0.103365,0.882391,0.877535,0.881069,0.822884
1.1889,0.7,0.09249,0.109085,0.89628,0.88993,0.883072,0.826071
1.1889,0.8,0.09864,0.114045,0.907981,0.900726,0.874197,0.824135
1.1889,0.9,0.1042,0.121891,0.904985,0.912842,0.881974,0.824689
1.1889,1.0,0.11383,0.13047,0.917689,0.921324,0.878243,0.82478
1.7333,0.1,0.05705,0.053261,0.807012,0.804718,0.926838,0.895992
1.7333,0.2,0.06431,0.057996,0.789432,0.810888,0.928646,0.897285
1.7333,0.3,0.07057,0.061719,0.817643,0.816973,0.923298,0.895745
1.7333,0.4,0.07405,0.067304,0.829771,0.832562,0.928601,0.897303
1.7333,0.5,0.07315,0.067316,0.846982,0.848485,0.924094,0.896612
1.7333,0.6,0.0766,0.070741,0.875921,0.882047,0.926858,0.896977
1.7333,0.7,0.08287,0.076732,0.889414,0.889622,0.928332,0.898969
1.7333,0.8,0.08585,0.080748,0.894871,0.898653,0.927452,0.896558
1.7333,0.9,0.09525,0.088607,0.915,0.913844,0.929721,0.898788
1.7333,1.0,0.10948,0.10108,0.910249,0.92098,0.924518,0.896797
2.2778,0.1,0.05749,0.055382,0.801423,0.808435,0.955267,0.966373
2.2778,0.2,0.05978,0.057934,0.823756,0.809793,0.957385,0.96774
2.2778,0.3,0.06276,0.063265,0.818937,0.82162,0.957387,0.966376
2.2778,0.4,0.06846,0.067095,0.835161,0.835228,0.958156,0.967246
2.2778,0.5,0.06943,0.06829,0.85213,0.849418,0.954861,0.966379
2.2778,0.6,0.07227,0.072035,0.879466,0.879614,0.955374,0.968125
2.2778,0.7,0.07934,0.078408,0.881721,0.891512,0.957077,0.968378
2.2778,0.8,0.08218,0.08297,0.892033,0.896265,0.957487,0.967068
2.2778,0.9,0.09207,0.08997,0.914503,0.908352,0.958101,0.969868
2.2778,1.0,0.10194,0.102275,0.930435,0.916366,0.95672,0.967243
2.8222,0.1,0.05578,0.052814,0.803467,0.802134,0.975876,0.977525
2.8222,0.2,0.05613,0.056044,0.818281,0.812962,0.973919,0.97822
2.8222,0.3,0.06161,0.06092,0.82776,0.818853,0.974925,0.977254
2.8222,0.4,0.06313,0.063676,0.840454,0.831752,0.972098,0.977273
2.8222,0.5,0.06808,0.06675,0.852576,0.848513,0.974879,0.977692
2.8222,0.6,0.07255,0.070051,0.884119,0.878418,0.975671,0.978472
2.8222,0.7,0.07692,0.076494,0.900706,0.894693,0.974666,0.978217
2.8222,0.8,0.08426,0.08179,0.899472,0.897231,0.973855,0.977395
2.8222,0.9,0.08677,0.088888,0.911305,0.910654,0.9755,0.979135
2.8222,1.0,0.10039,0.100548,0.915143,0.920386,0.97392,0.977267
3.3667,0.1,0.04997,0.052184,0.806645,0.801706,0.985105,0.987326
3.3667,0.2,0.05366,0.055119,0.810213,0.815879,0.98532,0.987144
3.3667,0.3,0.05906,0.058306,0.815155,0.818158,0.98363,0.986739
3.3667,0.4,0.0608,0.061176,0.822512,0.831053,0.98557,0.986956
3.3667,0.5,0.06497,0.0649,0.843922,0.849797,0.985952,0.986641
3.3667,0.6,0.06769,0.069098,0.875267,0.878347,0.98528,0.987157
3.3667,0.7,0.07535,0.075477,0.897373,0.894384,0.985095,0.98649
3.3667,0.8,0.08201,0.081852,0.900891,0.900707,0.985744,0.987346
3.3667,0.9,0.08951,0.088809,0.896195,0.911081,0.985443,0.987322
3.3667,1.0,0.09826,0.09849,0.917499,0.922808,0.986911,0.98723
3.9111,0.1,0.04892,0.050283,0.798047,0.803987,0.991019,0.992809
3.9111,0.2,0.05503,0.053854,0.806894,0.808957,0.991717,0.992307
3.9111,0.3,0.05715,0.058277,0.807878,0.814924,0.991557,0.992977
3.9111,0.4,0.06166,0.060906,0.829059,0.829905,0.990632,0.992376
3.9111,0.5,0.06248,0.063714,0.845987,0.847813,0.991612,0.993445
3.9111,0.6,0.06766,0.067929,0.876009,0.878887,0.992834,0.99326
3.9111,0.7,0.07468,0.074377,0.897107,0.895387,0.990637,0.992396
3.9111,0.8,0.08093,0.081457,0.904211,0.900969,0.990502,0.992789
3.9111,0.9,0.08962,0.088043,0.924358,0.910595,0.991602,0.992584
3.9111,1.0,0.09927,0.097624,0.927645,0.920277,0.991716,0.993378
4.4556,0.1,0.05301,0.050604,0.804112,0.805398,0.994513,0.995802
4.4556,0.2,0.05544,0.05379,0.811649,0.808925,0.993601,0.995283
4.4556,0.3,0.0573,0.05797,0.821379,0.814669,0.994913,0.995789
4.4556,0.4,0.05997,0.061095,0.833616,0.830812,0.995348,0.995448
4.4556,0.5,0.06348,0.063167,0.857871,0.850316,0.995153,0.996423
4.4556,0.6,0.06849,0.06728,0.880726,0.880102,0.995079,0.996534
4.4556,0.7,0.07394,0.07375,0.87898,0.887525,0.994098,0.995282
4.4556,0.8,0.08022,0.080423,0.896636,0.897915,0.994704,0.995625
4.4556,0.9,0.08822,0.087932,0.913846,0.910997,0.993672,0.995365
4.4556,1.0,0.09551,0.096134,0.921903,0.922005,0.994609,0.995988
5.0,0.1,0.04976,0.051337,0.811176,0.804251,0.997134,0.996251
5.0,0.2,0.05106,0.054202,0.808214,0.809419,0.996947,0.996394
5.0,0.3,0.0603,0.057922,0.812132,0.815625,0.997238,0.99664
5.0,0.4,0.06342,0.061445,0.83467,0.83478,0.996537,0.997101
5.0,0.5,0.06384,0.06303,0.844562,0.852696,0.997699,0.997179
5.0,0.6,0.06656,0.067762,0.885547,0.882025,0.996987,0.997149
5.0,0.7,0.07307,0.073593,0.894847,0.885945,0.997164,0.996154
5.0,0.8,0.08091,0.080312,0.894879,0.897404,0.997856,0.996795
5.0,0.9,0.08515,0.087351,0.904844,0.917211,0.997143,0.996166
