epsilon,lambda,CTX,SSI,ESR,NMI
0.1,0.1,0.19193,0.830135,0.587209,0.704647
0.1,0.2,0.18561,0.819142,0.595013,0.702543
0.1,0.3,0.19818,0.821128,0.586314,0.6935
0.1,0.4,0.18711,0.844501,0.588578,0.690326
0.1,0.5,0.20292,0.859718,0.584103,0.683993
0.1,0.6,0.19265,0.886522,0.59209,0.681605
0.1,0.7,0.19571,0.891376,0.592938,0.676706
0.1,0.8,0.21113,0.917123,0.583707,0.673332
0.1,0.9,0.21763,0.920063,0.582077,0.665361
0.1,1.0,0.22401,0.916717,0.590019,0.659058
0.2,0.1,0.14452,0.812317,0.644114,0.726035
0.2,0.2,0.14833,0.811701,0.649002,0.724828
0.2,0.3,0.15359,0.824545,0.64617,0.719211
0.2,0.4,0.16269,0.841563,0.642718,0.704597
0.2,0.5,0.16052,0.865736,0.646728,0.708894
0.2,0.6,0.1606,0.87831,0.641509,0.699719
0.2,0.7,0.16889,0.900186,0.643219,0.692553
0.2,0.8,0.17158,0.904975,0.646048,0.686789
0.2,0.9,0.18184,0.91598,0.645575,0.682829
0.2,1.0,0.18508,0.918731,0.647011,0.680355
0.3,0.1,0.12638,0.822658,0.687814,0.752799
0.3,0.2,0.12554,0.80085,0.691039,0.747196
0.3,0.3,0.13221,0.840943,0.686798,0.735687
0.3,0.4,0.13443,0.841265,0.690905,0.733197
0.3,0.5,0.13538,0.861335,0.688417,0.725646
0.3,0.6,0.14172,0.899178,0.687078,0.713101
0.3,0.7,0.14006,0.905058,0.694651,0.715487
0.3,0.8,0.15357,0.917263,0.687835,0.705316
0.3,0.9,0.15681,0.928194,0.688297,0.700971
0.3,1.0,0.16105,0.924878,0.690123,0.695837
0.4,0.1,0.10949,0.808683,0.72719,0.770012
0.4,0.2,0.11371,0.818033,0.723848,0.76613
0.4,0.3,0.1169,0.823578,0.726384,0.760904
0.4,0.4,0.11976,0.852393,0.725227,0.747179
0.4,0.5,0.1216,0.855471,0.727896,0.736585
0.4,0.6,0.12621,0.883399,0.724558,0.733775
0.4,0.7,0.1311,0.900636,0.724279,0.717686
0.4,0.8,0.13496,0.905073,0.724753,0.720397
0.4,0.9,0.14519,0.928798,0.726,0.710637
0.4,1.0,0.15536,0.922021,0.726329,0.699866
0.5,0.1,0.10105,0.805787,0.751538,0.784969
0.5,0.2,0.10255,0.805271,0.75664,0.780391
0.5,0.3,0.10713,0.836532,0.755452,0.770281
0.5,0.4,0.10911,0.845356,0.758516,0.760565
0.5,0.5,0.11014,0.843847,0.758458,0.758515
0.5,0.6,0.11312,0.878173,0.751673,0.740826
0.5,0.7,0.12291,0.884434,0.747153,0.734433
0.5,0.8,0.1261,0.899443,0.754312,0.725646
0.5,0.9,0.13379,0.915807,0.755227,0.719092
0.5,1.0,0.14436,0.931425,0.754603,0.713768
0.6,0.1,0.09323,0.798246,0.782979,0.805741
0.6,0.2,0.09655,0.791812,0.780544,0.796293
0.6,0.3,0.09675,0.82005,0.78355,0.787491
0.6,0.4,0.10154,0.838292,0.782762,0.777002
0.6,0.5,0.10512,0.855607,0.777071,0.763569
0.6,0.6,0.10616,0.881244,0.783956,0.754193
0.6,0.7,0.11246,0.897811,0.778193,0.744829
0.6,0.8,0.11946,0.902507,0.77881,0.731555
0.6,0.9,0.12858,0.915756,0.782752,0.73208
0.6,1.0,0.13502,0.921271,0.780858,0.72401
0.7,0.1,0.08461,0.792428,0.798376,0.813355
0.7,0.2,0.08679,0.804552,0.80174,0.805553
0.7,0.3,0.09173,0.829677,0.802712,0.795459
0.7,0.4,0.09763,0.852846,0.804684,0.784637
0.7,0.5,0.09581,0.854793,0.80963,0.781828
0.7,0.6,0.09831,0.873263,0.806708,0.763233
0.7,0.7,0.10386,0.895009,0.79949,0.755248
0.7,0.8,0.11488,0.906822,0.797626,0.743254
0.7,0.9,0.12101,0.923554,0.801247,0.738062
0.7,1.0,0.12542,0.935001,0.805739,0.730221
0.8,0.1,0.084,0.783039,0.824938,0.825796
0.8,0.2,0.08853,0.798676,0.819458,0.813919
0.8,0.3,0.08756,0.819394,0.819306,0.80088
0.8,0.4,0.09234,0.846117,0.819516,0.788723
0.8,0.5,0.09266,0.853857,0.821645,0.785277
0.8,0.6,0.09565,0.876229,0.824292,0.770402
0.8,0.7,0.10033,0.906475,0.82246,0.762223
0.8,0.8,0.10861,0.905332,0.822825,0.754792
0.8,0.9,0.11522,0.911965,0.825314,0.747222
0.8,1.0,0.12064,0.929338,0.817909,0.73447
0.9,0.1,0.08016,0.786357,0.835231,0.837364
0.9,0.2,0.07766,0.81427,0.835888,0.82362
0.9,0.3,0.08361,0.816104,0.839614,0.814461
0.9,0.4,0.08758,0.835756,0.836326,0.801658
0.9,0.5,0.08877,0.854111,0.838691,0.78752
0.9,0.6,0.0921,0.885557,0.838948,0.774483
0.9,0.7,0.09334,0.889309,0.838752,0.772839
0.9,0.8,0.1017,0.894144,0.841684,0.759384
0.9,0.9,0.11235,0.917138,0.835752,0.753891
0.9,1.0,0.12091,0.921838,0.837901,0.742728
1.0,0.1,0.07109,0.79592,0.856443,0.847001
1.0,0.2,0.07527,0.808701,0.85888,0.833703
1.0,0.3,0.07818,0.830396,0.853807,0.824357
1.0,0.4,0.08272,0.853017,0.856053,0.812398
1.0,0.5,0.08455,0.862128,0.85285,0.797064
1.0,0.6,0.08858,0.890286,0.853895,0.782954
1.0,0.7,0.09673,0.906577,0.856235,0.773771
1.0,0.8,0.09634,0.90138,0.858745,0.772605
1.0,0.9,0.11143,0.924795,0.857276,0.756595
1.0,1.0,0.11486,0.934936,0.851046,0.750181
